formula,band_gap,elements
Ac,0.0,['Ac']
Ac2AgPb,0.0,"['Ac', 'Ag', 'Pb']"
Ac2CdHg,0.0,"['Ac', 'Cd', 'Hg']"
Ac2CuGe,0.0,"['Ac', 'Cu', 'Ge']"
Ac2CuIr,0.0,"['Ac', 'Cu', 'Ir']"
Ac2GePd,0.0,"['Ac', 'Ge', 'Pd']"
Ac2HgGe,0.0,"['Ac', 'Ge', 'Hg']"
Ac2InGa,0.0,"['Ac', 'Ga', 'In']"
Ac2IrAu,0.0,"['Ac', 'Au', 'Ir']"
Ac2IrPd,0.0,"['Ac', 'Ir', 'Pd']"
Ac2IrRh,0.0,"['Ac', 'Ir', 'Rh']"
Ac2MgGa,0.0,"['Ac', 'Ga', 'Mg']"
Ac2MgPb,0.0,"['Ac', 'Mg', 'Pb']"
Ac2MgSn,0.0,"['Ac', 'Mg', 'Sn']"
Ac2MgTl,0.0,"['Ac', 'Mg', 'Tl']"
Ac2NiIr,0.0,"['Ac', 'Ir', 'Ni']"
Ac2O3,3.522599999999999,"['Ac', 'O']"
Ac2S3,2.2962,"['Ac', 'S']"
Ac2SiPd,0.0,"['Ac', 'Pd', 'Si']"
Ac2TlCd,0.0,"['Ac', 'Cd', 'Tl']"
Ac2TlIn,0.0,"['Ac', 'In', 'Tl']"
Ac2TlSn,0.0,"['Ac', 'Sn', 'Tl']"
Ac2ZnGe,0.0,"['Ac', 'Ge', 'Zn']"
Ac2ZnHg,0.0,"['Ac', 'Hg', 'Zn']"
Ac2ZnIn,0.0,"['Ac', 'In', 'Zn']"
Ac3In,0.0,"['Ac', 'In']"
Ac3Tl,0.0,"['Ac', 'Tl']"
AcAg,0.0,"['Ac', 'Ag']"
AcAg2Pb,0.0,"['Ac', 'Ag', 'Pb']"
AcAg3,0.0,"['Ac', 'Ag']"
AcAl3,0.0,"['Ac', 'Al']"
AcAlO3,4.1024,"['Ac', 'Al', 'O']"
AcAu3,0.0,"['Ac', 'Au']"
AcBr3,4.103299999999999,"['Ac', 'Br']"
AcBrO,4.241,"['Ac', 'Br', 'O']"
AcCdHg2,0.0,"['Ac', 'Cd', 'Hg']"
AcCdRh2,0.0,"['Ac', 'Cd', 'Rh']"
AcCl3,5.0865,"['Ac', 'Cl']"
AcClO,4.4451,"['Ac', 'Cl', 'O']"
AcCrO3,2.0031,"['Ac', 'Cr', 'O']"
AcCu3,0.0,"['Ac', 'Cu']"
AcCuO3,0.0,"['Ac', 'Cu', 'O']"
AcEuAu2,0.0,"['Ac', 'Au', 'Eu']"
AcEuZn2,0.0,"['Ac', 'Eu', 'Zn']"
AcF3,6.0693,"['Ac', 'F']"
AcFeO3,0.9887999999999991,"['Ac', 'Fe', 'O']"
AcGaO3,2.895900000000001,"['Ac', 'Ga', 'O']"
AcGe3,0.0,"['Ac', 'Ge']"
AcH2,0.0,"['Ac', 'H']"
AcH3,0.640699999999999,"['Ac', 'H']"
AcHg3,0.0,"['Ac', 'Hg']"
AcHgRh2,0.0,"['Ac', 'Hg', 'Rh']"
AcI3,2.5892,"['Ac', 'I']"
AcIn3,0.0,"['Ac', 'In']"
AcInHg2,0.0,"['Ac', 'Hg', 'In']"
AcLaCd2,0.0,"['Ac', 'Cd', 'La']"
AcMg,0.0,"['Ac', 'Mg']"
AcMg5,0.0,"['Ac', 'Mg']"
AcMgCd2,0.0,"['Ac', 'Cd', 'Mg']"
AcMgHg2,0.0,"['Ac', 'Hg', 'Mg']"
AcMgTl2,0.0,"['Ac', 'Mg', 'Tl']"
AcMgZn2,0.0,"['Ac', 'Mg', 'Zn']"
AcMnO3,0.0,"['Ac', 'Mn', 'O']"
AcN,0.0517,"['Ac', 'N']"
AcNiO3,0.0,"['Ac', 'Ni', 'O']"
AcOF,4.256600000000001,"['Ac', 'F', 'O']"
AcPbAu2,0.0,"['Ac', 'Au', 'Pb']"
AcRh2Pb,0.0,"['Ac', 'Pb', 'Rh']"
AcTiO3,0.0,"['Ac', 'O', 'Ti']"
AcTlAg2,0.0,"['Ac', 'Ag', 'Tl']"
AcTlAu2,0.0,"['Ac', 'Au', 'Tl']"
AcTlHg2,0.0,"['Ac', 'Hg', 'Tl']"
AcTlRh2,0.0,"['Ac', 'Rh', 'Tl']"
AcTlTe2,0.6253000000000001,"['Ac', 'Te', 'Tl']"
AcVO3,0.0,"['Ac', 'O', 'V']"
AcYbHg2,0.0,"['Ac', 'Hg', 'Yb']"
AcYbRh2,0.0,"['Ac', 'Rh', 'Yb']"
AcYbTl2,0.0,"['Ac', 'Tl', 'Yb']"
Ag,0.0,['Ag']
Ag(AuF4)2,0.258499999999999,"['Ag', 'Au', 'F']"
Ag(BCl)6,2.7028,"['Ag', 'B', 'Cl']"
Ag(TeMo)6,0.0,"['Ag', 'Mo', 'Te']"
Ag10Te4Br3,0.8722000000000001,"['Ag', 'Br', 'Te']"
Ag12Sn7H16(Se11N2)2,0.22229999999999903,"['Ag', 'H', 'N', 'Se', 'Sn']"
Ag15P4S16Cl3,1.288799999999999,"['Ag', 'Cl', 'P', 'S']"
Ag2B8O13,3.4397,"['Ag', 'B', 'O']"
Ag2BiO3,0.38720000000000004,"['Ag', 'Bi', 'O']"
Ag2Br3,0.0,"['Ag', 'Br']"
Ag2CO3,0.4736,"['Ag', 'C', 'O']"
Ag2Cl3,0.0,"['Ag', 'Cl']"
Ag2F,0.0,"['Ag', 'F']"
Ag2F5,0.0,"['Ag', 'F']"
Ag2Ge(S2O7)3,2.8072,"['Ag', 'Ge', 'O', 'S']"
Ag2GePbS4,1.3699,"['Ag', 'Ge', 'Pb', 'S']"
Ag2GeS3,0.4646,"['Ag', 'Ge', 'S']"
Ag2H2IOF,1.4591,"['Ag', 'F', 'H', 'I', 'O']"
Ag2H4(SO4)3,2.8821,"['Ag', 'H', 'O', 'S']"
Ag2Hg2(TeO4)3,0.16060000000000002,"['Ag', 'Hg', 'O', 'Te']"
Ag2HgGeS4,0.44410000000000005,"['Ag', 'Ge', 'Hg', 'S']"
Ag2HgI4,1.2219,"['Ag', 'Hg', 'I']"
Ag2HgO2,0.41029999999999905,"['Ag', 'Hg', 'O']"
Ag2HgSI2,1.2212,"['Ag', 'Hg', 'I', 'S']"
Ag2Mo2O7,1.9011,"['Ag', 'Mo', 'O']"
Ag2O,0.0,"['Ag', 'O']"
Ag2P2PdO7,1.166799999999999,"['Ag', 'O', 'P', 'Pd']"
Ag2PHO4,1.3274,"['Ag', 'H', 'O', 'P']"
Ag2PSe3,1.186599999999999,"['Ag', 'P', 'Se']"
Ag2S2O7,2.301599999999999,"['Ag', 'O', 'S']"
Ag2SO4,1.2289,"['Ag', 'O', 'S']"
Ag2Se,0.0,"['Ag', 'Se']"
Ag2SeO3,1.7022,"['Ag', 'O', 'Se']"
Ag2SeO3,2.093499999999999,"['Ag', 'O', 'Se']"
Ag2SeO4,0.42639999999999906,"['Ag', 'O', 'Se']"
Ag2Sn(S2O7)3,2.4602,"['Ag', 'O', 'S', 'Sn']"
Ag2SnHgS4,0.015699999999999003,"['Ag', 'Hg', 'S', 'Sn']"
Ag2SnHgSe4,0.0,"['Ag', 'Hg', 'Se', 'Sn']"
Ag2Te,0.0,"['Ag', 'Te']"
Ag2TeO4,0.0001,"['Ag', 'O', 'Te']"
Ag2TeS3,1.2999,"['Ag', 'S', 'Te']"
Ag3(PO4)2,0.0,"['Ag', 'O', 'P']"
Ag3AsF12,0.099399999999999,"['Ag', 'As', 'F']"
Ag3AsF12,0.153999999999999,"['Ag', 'As', 'F']"
Ag3AsO4,9.999999999998901e-05,"['Ag', 'As', 'O']"
Ag3AsS3,1.627799999999999,"['Ag', 'As', 'S']"
Ag3AsS4,0.35760000000000003,"['Ag', 'As', 'S']"
Ag3AsSe3,0.9037000000000001,"['Ag', 'As', 'Se']"
Ag3Au,0.0,"['Ag', 'Au']"
Ag3AuSe2,0.023499999999999,"['Ag', 'Au', 'Se']"
Ag3F8,0.306899999999999,"['Ag', 'F']"
Ag3Ge5P6,0.5388000000000001,"['Ag', 'Ge', 'P']"
Ag3O4,0.0,"['Ag', 'O']"
Ag3P11,0.8305999999999991,"['Ag', 'P']"
Ag3PO4,0.42099999999999904,"['Ag', 'O', 'P']"
Ag3PS4,0.9914000000000001,"['Ag', 'P', 'S']"
Ag3Pd,0.0,"['Ag', 'Pd']"
Ag3S4(O3F)4,0.0,"['Ag', 'F', 'O', 'S']"
Ag3Sb4F24,0.012499999999999001,"['Ag', 'F', 'Sb']"
Ag3SbS3,1.5142,"['Ag', 'S', 'Sb']"
Ag3Sn2(GeP2)3,0.21549999999999903,"['Ag', 'Ge', 'P', 'Sn']"
Ag3SnP7,0.5034000000000001,"['Ag', 'P', 'Sn']"
